## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[sacCer3_draft_alin.paired.bam] OUTPUT=sacCer3_draft_alin.Hic.bam METRICS_FILE=sacCer3_draft_alin.hic_METRICS_FILE.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[temp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 05 10:19:32 BRT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
sacCer3_draft_alin	0	4229036	0	0	0	55397	0	0,013099	160010633

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	4118924	4118924
2.0	1,973916	54043	54043
3.0	2,92243	662	662
4.0	3,846203	10	10
5.0	4,74588	0	0
6.0	5,622091	0	0
7.0	6,475447	0	0
8.0	7,306545	0	0
9.0	8,115964	0	0
10.0	8,904271	0	0
11.0	9,672017	0	0
12.0	10,419737	0	0
13.0	11,147953	0	0
14.0	11,857176	0	0
15.0	12,547899	0	0
16.0	13,220606	0	0
17.0	13,875766	0	0
18.0	14,513837	0	0
19.0	15,135265	0	0
20.0	15,740484	0	0
21.0	16,329917	0	0
22.0	16,903976	0	0
23.0	17,463061	0	0
24.0	18,007563	0	0
25.0	18,537862	0	0
26.0	19,05433	0	0
27.0	19,557326	0	0
28.0	20,047202	0	0
29.0	20,524301	0	0
30.0	20,988955	0	0
31.0	21,441489	0	0
32.0	21,88222	0	0
33.0	22,311455	0	0
34.0	22,729494	0	0
35.0	23,136629	0	0
36.0	23,533144	0	0
37.0	23,919317	0	0
38.0	24,295418	0	0
39.0	24,661708	0	0
40.0	25,018444	0	0
41.0	25,365875	0	0
42.0	25,704244	0	0
43.0	26,033787	0	0
44.0	26,354735	0	0
45.0	26,667311	0	0
46.0	26,971734	0	0
47.0	27,268216	0	0
48.0	27,556965	0	0
49.0	27,838183	0	0
50.0	28,112065	0	0
51.0	28,378804	0	0
52.0	28,638585	0	0
53.0	28,89159	0	0
54.0	29,137996	0	0
55.0	29,377975	0	0
56.0	29,611694	0	0
57.0	29,839317	0	0
58.0	30,061003	0	0
59.0	30,276907	0	0
60.0	30,487179	0	0
61.0	30,691966	0	0
62.0	30,891412	0	0
63.0	31,085655	0	0
64.0	31,274832	0	0
65.0	31,459075	0	0
66.0	31,638512	0	0
67.0	31,813268	0	0
68.0	31,983467	0	0
69.0	32,149226	0	0
70.0	32,310661	0	0
71.0	32,467886	0	0
72.0	32,621009	0	0
73.0	32,770139	0	0
74.0	32,915378	0	0
75.0	33,05683	0	0
76.0	33,194592	0	0
77.0	33,32876	0	0
78.0	33,459429	0	0
79.0	33,58669	0	0
80.0	33,710631	0	0
81.0	33,831339	0	0
82.0	33,948899	0	0
83.0	34,063393	0	0
84.0	34,1749	0	0
85.0	34,283499	0	0
86.0	34,389265	0	0
87.0	34,492272	0	0
88.0	34,592592	0	0
89.0	34,690296	0	0
90.0	34,785451	0	0
91.0	34,878125	0	0
92.0	34,968381	0	0
93.0	35,056283	0	0
94.0	35,141892	0	0
95.0	35,225268	0	0
96.0	35,306469	0	0
97.0	35,385553	0	0
98.0	35,462573	0	0
99.0	35,537585	0	0
100.0	35,61064	0	0

