Sample	QV	Error_rate	Completeness
Scer1_Flye	39.8028	0.000104645	97.9666
Scer2_Flye	24.0265	0.00395682	81.534
Scer1_hifiasm	43.6399	4.3252e-05	94.0864
Scer2_hifiasm	34.4787	0.000356556	84.6487
Scer1_nextdenovo	39.7484	0.000105965	84.4547
Scer1_Flye_medaka	38.9389	0.000127675	97.9406
Scer2_Flye_medaka	24.3347	0.00368577	82.1741
Scer1_hifiasm_medaka	39.9532	0.000101082	94.3308
Scer2_hifiasm_medaka	32.6271	0.000546128	85.2225
Scer1_nextdenovo_medaka	38.2905	0.000148236	84.4909
Scer1_Flye_ragtag	38.9389	0.000127675	97.9406
Scer2_Flye_ragtag	24.3347	0.00368577	82.1741
Scer1_hifiasm_ragtag	39.9532	0.000101082	94.3308
Scer2_hifiasm_ragtag	32.6271	0.000546128	85.2225
Scer1_nextdenovo_ragtag	38.2905	0.000148236	84.4909
Scer1_Flye_longstitch	39.3569	0.00011596	97.8652
Scer2_Flye_longstitch	24.3484	0.00367419	82.1741
Scer1_hifiasm_longstitch	40.0696	9.84105e-05	94.1586
Scer2_hifiasm_longstitch	32.6271	0.000546128	85.2225
Scer1_nextdenovo_longstitch	38.5918	0.000138299	84.4599
