All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Scer1_Flye   Scer2_Flye   Scer1_hifiasm  Scer2_hifiasm  Scer1_nextdenovo  Scer1_Flye_medaka  Scer2_Flye_medaka  Scer1_hifiasm_medaka  Scer2_hifiasm_medaka  Scer1_nextdenovo_medaka  Scer1_Flye_ragtag  Scer1_Flye_ragtag_broken  Scer2_Flye_ragtag  Scer2_Flye_ragtag_broken  Scer1_hifiasm_ragtag  Scer1_hifiasm_ragtag_broken  Scer2_hifiasm_ragtag  Scer2_hifiasm_ragtag_broken  Scer1_nextdenovo_ragtag  Scer1_nextdenovo_ragtag_broken  Scer1_Flye_longstitch  Scer1_Flye_longstitch_broken  Scer2_Flye_longstitch  Scer2_Flye_longstitch_broken  Scer1_hifiasm_longstitch  Scer1_hifiasm_longstitch_broken  Scer2_hifiasm_longstitch  Scer2_hifiasm_longstitch_broken  Scer1_nextdenovo_longstitch  Scer1_nextdenovo_longstitch_broken
# contigs (>= 0 bp)          126          690          194            12             78                126                690                194                   12                    78                       35                 126                       31                 690                       28                    194                          7                     12                           17                       78                              390                    457                           607                    652                           228                       271                              11                        12                               275                          271                               
# contigs (>= 1000 bp)       124          687          194            12             78                124                687                194                   12                    78                       34                 124                       29                 687                       28                    194                          7                     12                           17                       78                              134                    337                           604                    649                           137                       231                              11                        12                               85                           183                               
# contigs (>= 5000 bp)       97           486          174            5              78                97                 485                174                   5                     78                       25                 97                        24                 485                       21                    174                          5                     5                            17                       78                              106                    208                           454                    471                           121                       188                              6                         5                                75                           138                               
# contigs (>= 10000 bp)      84           252          163            1              78                84                 251                163                   1                     78                       20                 84                        21                 251                       20                    163                          2                     1                            17                       78                              95                     182                           252                    251                           114                       171                              1                         1                                72                           126                               
# contigs (>= 25000 bp)      65           32           131            0              77                65                 32                 131                   0                     77                       17                 65                        17                 32                        18                    131                          0                     0                            17                       77                              79                     130                           45                     39                            92                        131                              0                         0                                67                           106                               
# contigs (>= 50000 bp)      53           2            78             0              67                53                 2                  78                    0                     67                       17                 53                        16                 2                         17                    78                           0                     0                            16                       67                              63                     82                            2                      2                             68                        81                               0                         0                                61                           77                                
Total length (>= 0 bp)       11794776     6822332      11117491       62574          10025508          11800966           6806779            11124426              62592                 10027176                 11810066           11800966                  6872679            6806779                   11141026              11124426                     63092                 62592                        10033276                 10027176                        11870788               11741626                      6804958                6788227                       11184432                  11075488                         62784                     62592                            10067837                     9972634                           
Total length (>= 1000 bp)    11793342     6820104      11117491       62574          10025508          11799531           6804551            11124426              62592                 10027176                 11809539           11799531                  6871165            6804551                   11141026              11124426                     63092                 62592                        10033276                 10027176                        11748539               11650435                      6802730                6785999                       11141818                  11044662                         62784                     62592                            9979637                      9907076                           
Total length (>= 5000 bp)    11713589     6125323      11052536       38276          10025508          11719349           6106452            11059372              38293                 10027176                 11777948           11719349                  6850448            6106452                   11121233              11059372                     54529                 38293                        10033276                 10027176                        11666629               11352846                      6279533                6165058                       11099677                  10942962                         43870                     38293                            9948952                      9804439                           
Total length (>= 10000 bp)   11626574     4431795      10969153       11249          10025508          11632272           4411946            10975880              11251                 10027176                 11749222           11632272                  6828919            4411946                   11113828              10975880                     33533                 11251                        10033276                 10027176                        11593027               11172713                      4819344                4570192                       11043631                  10810745                         11251                     11251                            9921571                      9715036                           
Total length (>= 25000 bp)   11306385     1046947      10401814       0              10012028          11311824           1044862            10407932              0                     10013524                 11708390           11311824                  6779488            1044862                   11090446              10407932                     0                     0                            10033276                 10013524                        11351698               10323197                      1520859                1300499                       10681624                  10105262                         0                         0                                9841863                      9376286                           
Total length (>= 50000 bp)   10858250     101117       8455287        0              9616048           10862972           100918             8459776               0                     9617485                  11708390           10862972                  6753813            100918                    11043356              8459776                      0                     0                            9999770                  9617485                         10775817               8442613                       108488                 104163                        9762405                   8206708                          0                         0                                9611831                      8253033                           
# contigs                    126          690          194            12             78                126                690                194                   12                    78                       35                 126                       31                 690                       28                    194                          7                     12                           17                       78                              254                    457                           607                    652                           177                       271                              11                        12                               173                          271                               
Largest contig               798542       50913        443739         11249          451657            798803             50833              443880                11251                 450615                   1484364            798803                    946426             50833                     1571335               443880                       22647                 11251                        1381272                  450615                          494709                 394412                        57655                  53330                         479892                    391536                           11251                     11251                            429928                       394516                            
Total length                 11794776     6822332      11117491       62574          10025508          11800966           6806779            11124426              62592                 10027176                 11810066           11800966                  6872679            6806779                   11141026              11124426                     63092                 62592                        10033276                 10027176                        11839730               11741626                      6804958                6788227                       11172644                  11075488                         62784                     62592                            10045195                     9972634                           
Reference length             12157105     12157105     12157105       12157105       12157105          12157105           12157105           12157105              12157105              12157105                 12157105           12157105                  12157105           12157105                  12157105              12157105                     12157105              12157105                     12157105                 12157105                        12157105               12157105                      12157105               12157105                      12157105                  12157105                         12157105                  12157105                         12157105                     12157105                          
GC (%)                       38.18        38.19        38.11          31.96          38.29             38.17              38.04              38.11                 31.97                 38.29                    38.17              38.17                     38.04              38.04                     38.11                 38.11                        31.97                 31.97                        38.29                    38.29                           38.18                  38.18                         38.04                  38.04                         38.11                     38.11                            31.97                     31.97                            38.29                        38.29                             
Reference GC (%)             38.15        38.15        38.15          38.15          38.15             38.15              38.15              38.15                 38.15                 38.15                    38.15              38.15                     38.15              38.15                     38.15                 38.15                        38.15                 38.15                        38.15                    38.15                           38.15                  38.15                         38.15                  38.15                         38.15                     38.15                            38.15                     38.15                            38.15                        38.15                             
N50                          298282       13152        98807          6030           161372            298371             13134              98848                 6046                  161413                   909227             298371                    507394             13134                     857855                98848                        10886                 6046                         698871                   161413                          221440                 77485                         15667                  14211                         159403                    84818                            6046                      6046                             177266                       98730                             
NG50                         298282       5099         93173          -              140342            298371             5049               93202                 -                     140382                   909227             298371                    296022             5049                      823095                93202                        -                     -                            665939                   140382                          221440                 75464                         5964                   5251                          135777                    74159                            -                         -                                149351                       77153                             
N90                          64848        4951         30829          2850           67239             64869              4942               30840                 2852                  67266                    518177             64869                     296022             4942                      394263                30840                        4421                  2852                         453095                   67266                           51622                  21809                         5670                   5207                          42283                     28077                            4142                      2852                             73394                        38809                             
NG90                         48353        -            11168          -              -                 48362              -                  11288                 -                     -                        306698             48362                     -                  -                         164050                11288                        -                     -                            -                        -                               42426                  14041                         -                      -                             12908                     5477                             -                         -                                -                            -                                 
auN                          296133.4     15612.1      121367.4       6493.0         189267.0          296229.9           15579.0            121416.4              6494.9                189246.6                 906992.8           296229.9                  532482.5           15579.0                   840727.7              121416.4                     12980.0               6494.9                       788156.4                 189246.6                        226515.3               106387.3                      18087.3                16684.2                       189577.7                  107205.7                         6738.7                    6494.9                           204848.4                     122677.2                          
auNG                         287307.5     8761.2       110988.7       33.4           156081.4          287551.9           8722.7             111102.8              33.4                  156090.5                 881101.6           287551.9                  301024.1           8722.7                    770460.5              111102.8                     67.4                  33.4                         650466.6                 156090.5                        220601.9               102751.5                      10124.4                9316.1                        174226.0                  97667.6                          34.8                      33.4                             169262.5                     100633.7                          
L50                          15           165          37             4              21                15                 165                37                    4                     21                       6                  15                        6                  165                       6                     37                           2                     4                            6                        21                              19                     43                            140                    154                           22                        40                               4                         4                                19                           32                                
LG50                         15           477          42             -              28                15                 480                42                    -                     28                       6                  15                        12                 480                       7                     42                           -                     -                            7                        28                              19                     45                            417                    455                           25                        47                               -                         -                                25                           44                                
L90                          49           489          117            10             58                49                 489                117                   10                    58                       12                 49                        12                 489                       13                    117                          6                     10                           12                       58                              61                     141                           425                    460                           75                        126                              9                         10                               52                           94                                
LG90                         55           -            161            -              -                 55                 -                  160                   -                     -                        13                 55                        -                  -                         16                    160                          -                     -                            -                        -                               67                     163                           -                      -                             106                       188                              -                         -                                -                            -                                 
# misassemblies              116          47           109            3              117               115                51                 110                   3                     114                      131                114                       195                51                        143                   110                          6                     3                            142                      114                             109                    106                           57                     51                            109                       104                              3                         3                                111                          105                               
# misassembled contigs       51           43           65             3              49                51                 45                 65                    3                     49                       20                 50                        18                 45                        19                    65                           3                     3                            17                       49                              56                     71                            49                     45                            58                        67                               3                         3                                48                           60                                
Misassembled contigs length  8311210      521353       5746485        23528          7125471           8318518            551449             5750114               23529                 7126889                  11733271           8241780                   6782923            551449                    11051082              5750114                      41763                 23529                        10033276                 7126889                         7699461                4763069                       731379                 602562                        7288826                   5158851                          23529                     23529                            6793256                      4936759                           
# local misassemblies        85           35           73             1              74                85                 33                 74                    1                     74                       81                 86                        34                 33                        72                    74                           1                     1                            73                       74                              78                     76                            33                     33                            77                        75                               1                         1                                68                           67                                
# scaffold gap ext. mis.     0            0            0              0              0                 0                  0                  0                     0                     0                        29                 0                         343                0                         92                    0                            1                     0                            20                       0                               2                      0                             0                      0                             0                         0                                0                         0                                0                            0                                 
# scaffold gap loc. mis.     0            0            0              0              0                 0                  0                  0                     0                     0                        30                 0                         126                0                         39                    0                            1                     0                            6                        0                               94                     0                             23                     0                             76                        0                                1                         0                                65                           0                                 
# unaligned mis. contigs     1            0            1              0              0                 1                  0                  1                     0                     0                        0                  1                         0                  0                         0                     1                            0                     0                            0                        0                               3                      3                             0                      0                             1                         1                                0                         0                                0                            0                                 
# unaligned contigs          9 + 38 part  3 + 30 part  1 + 30 part    0 + 1 part     0 + 22 part       8 + 40 part        4 + 28 part        0 + 31 part           0 + 1 part            0 + 21 part              5 + 26 part        8 + 40 part               2 + 16 part        4 + 28 part               0 + 19 part           0 + 31 part                  0 + 1 part            0 + 1 part                   0 + 14 part              0 + 21 part                     7 + 44 part            9 + 46 part                   3 + 27 part            3 + 27 part                   2 + 27 part               4 + 30 part                      0 + 1 part                0 + 1 part                       0 + 23 part                  1 + 25 part                       
Unaligned length             184765       67845        121771         2852           95490             185446             65826              119199                2853                  97265                    206355             185446                    86686              65826                     130687                119199                       3194                  2853                         106648                   97265                           181152                 178097                        64991                  64748                         121037                    119509                           2853                      2853                             100885                       100066                            
Genome fraction (%)          94.208       54.333       88.575         0.487          80.259            94.224             54.337             88.650                0.487                 80.188                   94.199             94.234                    54.309             54.337                    88.670                88.630                       0.487                 0.487                        80.184                   80.191                          93.894                 93.903                        54.337                 54.336                        88.406                    88.430                           0.487                     0.487                            79.995                       80.001                            
Duplication ratio            1.012        1.020        1.019          0.998          1.015             1.012              1.018              1.019                 0.999                 1.016                    1.010              1.010                     1.018              1.018                     1.018                 1.019                        0.999                 0.999                        1.016                    1.016                           1.011                  1.011                         1.016                  1.015                         1.018                     1.017                            0.999                     0.999                            1.012                        1.012                             
# N's per 100 kbp            0.00         0.00         0.00           0.00           0.00              0.00               0.00               0.00                  0.00                  0.00                     77.05              0.00                      958.87             0.00                      149.00                0.00                         792.49                0.00                         60.80                    0.00                            828.60                 0.00                          245.86                 0.00                          869.59                    0.00                             305.81                    0.00                             722.35                       0.00                              
# mismatches per 100 kbp     485.42       745.43       480.58         541.15         472.13            486.60             746.43             468.32                456.50                481.31                   487.27             487.50                    746.17             746.43                    468.67                468.38                       456.50                456.50                       481.36                   481.43                          481.39                 480.93                        744.51                 744.55                        465.64                    464.00                           456.50                    456.50                           468.96                       467.89                            
# indels per 100 kbp         80.71        581.89       102.11         180.95         86.75             68.60              559.43             64.27                 130.19                63.08                    68.51              68.71                     559.87             559.43                    64.33                 64.28                        130.19                130.19                       63.13                    63.09                           67.17                  66.27                         557.79                 557.51                        63.41                     63.32                            130.19                    130.19                           60.56                        60.33                             
Largest alignment            389896       50907        228406         7282           229771            390009             50827              228502                7284                  229839                   510099             390009                    200136             50827                     531079                228502                       8760                  7284                         514197                   229839                          346127                 230378                        57648                  53324                         308025                    228502                           7284                      7284                             304195                       229839                            
