Assembly	Scer1_Flye	Scer1_Flye_medaka	Scer1_Hifiasm	Scer1_Hifiasm_medaka	Scer1_NextDenovo	Scer1_NextDenovo_medaka	Scer2_Flye	Scer2_Flye_medaka	Scer2_Hifiasm	Scer2_Hifiasm_medaka
# contigs (>= 0 bp)	78	78	83	83	23	23	740	740	14	14
# contigs (>= 1000 bp)	66	66	83	83	23	23	735	735	14	14
# contigs (>= 5000 bp)	49	49	41	41	23	23	531	529	8	8
# contigs (>= 10000 bp)	36	36	39	39	23	23	314	313	4	4
# contigs (>= 25000 bp)	27	27	31	31	22	22	62	62	1	1
# contigs (>= 50000 bp)	23	23	25	25	19	19	5	5	1	1
Total length (>= 0 bp)	12269450	12278271	12949620	12956620	11038174	11041024	8352850	8335149	169194	169211
Total length (>= 1000 bp)	12260854	12269692	12949620	12956620	11038174	11041024	8349003	8331307	169194	169211
Total length (>= 5000 bp)	12221127	12229880	12844577	12851512	11038174	11041024	7676526	7650373	145639	145652
Total length (>= 10000 bp)	12128670	12137283	12829045	12835944	11038174	11041024	6080715	6058378	116656	116662
Total length (>= 25000 bp)	11983556	11991894	12699341	12705838	11016202	11019035	2100235	2096692	82451	82465
Total length (>= 50000 bp)	11880235	11887671	12491234	12498052	10909069	10911642	289025	288499	82451	82465
# contigs	76	76	83	83	23	23	740	740	14	14
Largest contig	1533529	1534245	1182476	1183114	1483295	1482963	72351	72221	82451	82465
Total length	12268473	12277290	12949620	12956620	11038174	11041024	8352850	8335149	169194	169211
Reference length	12157105	12157105	12157105	12157105	12157105	12157105	12157105	12157105	12157105	12157105
GC (%)	37.98	37.98	37.66	37.66	38.18	38.19	38.12	37.98	27.45	27.46
Reference GC (%)	38.15	38.15	38.15	38.15	38.15	38.15	38.15	38.15	38.15	38.15
N50	684380	684275	757070	757329	760063	760131	16256	16218	12224	12229
NG50	684380	684275	757070	757329	733834	734166	10000	9838	-	-
N90	303007	303129	228503	228562	265982	265566	5817	5796	4425	4425
NG90	303007	303129	315273	315392	40451	40735	-	-	-	-
auN	721125.5	721397.4	683256.9	683535.8	784979.8	785003.9	18904.2	18870.4	44305.6	44314.6
auNG	727731.5	728529.1	727798.0	728488.7	712730.8	712936.8	12988.6	12937.9	616.6	616.8
L50	7	7	7	7	6	6	166	166	2	2
LG50	7	7	7	7	7	7	314	316	-	-
L90	17	17	19	19	14	14	502	502	10	10
LG90	17	17	16	16	20	20	-	-	-	-
# misassemblies	155	150	200	198	167	170	67	67	7	7
# misassembled contigs	36	36	32	33	23	23	57	57	2	2
Misassembled contigs length	11956095	11964561	12658697	12704561	11038174	11041024	887981	895652	93123	93137
# local misassemblies	111	117	162	160	102	100	53	54	8	8
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	2	2	4	4	0	0	1	0	0	0
# unaligned contigs	5 + 36 part	5 + 37 part	1 + 38 part	1 + 39 part	0 + 18 part	0 + 19 part	9 + 56 part	13 + 53 part	1 + 2 part	1 + 2 part
Unaligned length	252365	261386	306595	312968	182559	193823	144811	149164	24857	24865
Genome fraction (%)	95.748	95.845	95.992	95.981	86.765	86.681	65.765	65.713	1.185	1.188
Duplication ratio	1.029	1.028	1.081	1.081	1.026	1.027	1.024	1.022	0.999	0.998
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	497.50	497.76	497.02	497.59	499.64	499.48	734.85	741.30	697.02	771.40
# indels per 100 kbp	79.52	68.28	96.13	80.76	88.57	68.53	552.48	530.21	410.71	373.21
Largest alignment	579347	579529	522167	522339	539490	539453	72348	72218	33002	33008
Total aligned length	11980975	11980567	12609399	12610194	10825899	10822934	8190406	8167398	143898	144153
NA50	221824	222005	184739	184799	195212	195326	15258	15234	7331	7329
NGA50	221824	222005	186269	186382	178371	178393	8961	8903	-	-
NA90	33806	33878	17437	17445	32625	32632	4690	4670	-	-
NGA90	42599	39438	39995	40032	-	-	-	-	-	-
auNA	247396.8	253536.6	204329.4	205093.8	226357.5	226086.0	17711.7	17678.1	14037.8	14055.9
auNGA	249663.2	256043.0	217649.6	218581.8	205523.7	205330.2	12169.3	12120.4	195.4	195.6
LA50	17	17	22	22	18	18	177	177	5	5
LGA50	17	17	20	20	21	21	339	340	-	-
LA90	63	62	96	95	64	64	552	552	-	-
LGA90	60	59	68	67	-	-	-	-	-	-
