Assembly	Scer1_q10_l500_Flye	Scer1_q10_l500_Flye_broken	Scer2_q10_l500_Flye	Scer1_q10_l500_Hifiasm	Scer2_q10_l500_Hifiasm	Scer1_q10_l500_NextDenovo
# contigs (>= 0 bp)	75	76	725	86	15	28
# contigs (>= 1000 bp)	69	70	721	86	15	28
# contigs (>= 5000 bp)	43	44	532	45	9	28
# contigs (>= 10000 bp)	30	31	330	41	5	28
# contigs (>= 25000 bp)	24	25	65	32	1	24
# contigs (>= 50000 bp)	21	22	5	27	1	21
Total length (>= 0 bp)	12296239	12296139	8425138	13061062	183837	11082976
Total length (>= 1000 bp)	12291723	12291623	8422578	13061062	183837	11082976
Total length (>= 5000 bp)	12210946	12210846	7793672	12958775	160282	11082976
Total length (>= 10000 bp)	12112256	12112156	6308647	12926027	131299	11082976
Total length (>= 25000 bp)	12023273	12023173	2217223	12782587	82450	11017248
Total length (>= 50000 bp)	11930086	11929986	275220	12610778	82450	10908771
# contigs	75	76	725	86	15	28
Largest contig	1530134	1530134	58540	1133690	82450	1411305
Total length	12296239	12296139	8425138	13061062	183837	11082976
Reference length	12157105	12157105	12157105	12157105	12157105	12157105
GC (%)	37.99	37.99	38.06	37.72	28.62	38.38
Reference GC (%)	38.15	38.15	38.15	38.15	38.15	38.15
N50	811673	751041	16241	709751	15164	718358
NG50	811673	751041	10724	757070	-	694993
N90	325622	325622	6052	212016	4425	263619
NG90	423475	423475	-	272578	-	41857
auN	812454.2	769430.0	19177.6	669961.9	41967.6	730188.0
auNG	821752.5	778229.5	13290.5	719777.8	634.6	665673.0
L50	6	7	166	8	2	6
LG50	6	7	308	7	-	7
L90	15	16	494	20	11	16
LG90	14	15	-	17	-	22
# misassemblies	145	145	79	209	9	172
# misassembled contigs	31	32	64	34	2	27
Misassembled contigs length	12076783	12076683	1051296	12760793	97614	11070796
# local misassemblies	118	118	53	162	8	94
# scaffold gap ext. mis.	0	0	0	0	0	0
# scaffold gap loc. mis.	1	0	0	0	0	0
# unaligned mis. contigs	2	2	2	4	0	0
# unaligned contigs	6 + 35 part	6 + 35 part	9 + 46 part	1 + 41 part	1 + 3 part	0 + 19 part
Unaligned length	244183	243808	125390	299201	26731	151163
Genome fraction (%)	96.117	96.115	66.440	96.042	1.293	87.066
Duplication ratio	1.028	1.028	1.024	1.090	0.999	1.027
# N's per 100 kbp	0.81	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	500.62	500.62	744.54	493.59	772.70	498.50
# indels per 100 kbp	81.30	81.30	557.53	96.41	421.71	88.30
Largest alignment	663301	663301	58540	522167	33002	539487
Total aligned length	12014222	12014222	8273203	12728425	156981	10872926
NA50	221921	221921	15546	178379	7331	181125
NGA50	247740	230308	9646	186269	-	168342
NA90	33813	33813	4886	16797	-	36239
NGA90	42609	42609	-	39995	-	-
auNA	251069.8	250418.9	17866.5	202699.5	13433.3	224827.0
auNGA	253943.2	253282.8	12381.9	217771.5	203.1	204962.6
LA50	18	18	177	23	6	18
LGA50	17	17	331	20	-	21
LA90	61	61	541	101	-	64
LGA90	58	58	-	68	-	-
