All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                            # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N90     NG90    auN       auNG      L50  LG50  L90  LG90  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NA50    NGA50   NA90   NGA90  auNA      auNGA     LA50  LGA50  LA90  LGA90
Scer1_Flye                          126                  124                     97                      84                       65                       53                       11794776                11793342                   11713589                   11626574                    11306385                    10858250                    126        798542          11794776      12157105          38.18   38.15             298282  298282  64848   48353   296133.4  287307.5  15   15    49   55    116              51                      8311210                      85                     0                         0                         1                         9 + 38 part          184765            94.208               1.012              0.00               485.42                    80.71                 389896             11590164              132440  130963  30508  20061  150739.3  146246.7  28    30     97    110  
Scer2_Flye                          690                  687                     486                     252                      32                       2                        6822332                 6820104                    6125323                    4431795                     1046947                     101117                      690        50913           6822332       12157105          38.19   38.15             13152   5099    4951    -       15612.1   8761.2    165  477   489  -     47               43                      521353                       35                     0                         0                         0                         3 + 30 part          67845             54.333               1.020              0.00               745.43                    581.89                50907              6738402               12678   4751    4502   -      14899.1   8361.1    172   505    519   -    
Scer1_hifiasm                       194                  194                     174                     163                      131                      78                       11117491                11117491                   11052536                   10969153                    10401814                    8455287                     194        443739          11117491      12157105          38.11   38.15             98807   93173   30829   11168   121367.4  110988.7  37   42    117  161   109              65                      5746485                      73                     0                         0                         1                         1 + 30 part          121771            88.575               1.019              0.00               480.58                    102.11                228406             10971970              65108   62002   20066  1925   79839.4   73011.9   51    59     164   268  
Scer2_hifiasm                       12                   12                      5                       1                        0                        0                        62574                   62574                      38276                      11249                       0                           0                           12         11249           62574         12157105          31.96   38.15             6030    -       2850    -       6493.0    33.4      4    -     10   -     3                3                       23528                        1                      0                         0                         0                         0 + 1 part           2852              0.487                0.998              0.00               541.15                    180.95                7282               59133                 4588    -       1566   -      4666.5    24.0      6     -      13    -    
Scer1_nextdenovo                    78                   78                      78                      78                       77                       67                       10025508                10025508                   10025508                   10025508                    10012028                    9616048                     78         451657          10025508      12157105          38.29   38.15             161372  140342  67239   -       189267.0  156081.4  21   28    58   -     117              49                      7125471                      74                     0                         0                         0                         0 + 22 part          95490             80.259               1.015              0.00               472.13                    86.75                 229771             9903618               114427  85621   32080  -      112378.7  92674.5   32    43     95    -    
Scer1_Flye_medaka                   126                  124                     97                      84                       65                       53                       11800966                11799531                   11719349                   11632272                    11311824                    10862972                    126        798803          11800966      12157105          38.17   38.15             298371  298371  64869   48362   296229.9  287551.9  15   15    49   55    115              51                      8318518                      85                     0                         0                         1                         8 + 40 part          185446            94.224               1.012              0.00               486.60                    68.60                 390009             11591156              132490  131014  30517  20066  150820.3  146402.0  28    30     97    110  
Scer2_Flye_medaka                   690                  687                     485                     251                      32                       2                        6806779                 6804551                    6106452                    4411946                     1044862                     100918                      690        50833           6806779       12157105          38.04   38.15             13134   5049    4942    -       15579.0   8722.7    165  480   489  -     51               45                      551449                       33                     0                         0                         0                         4 + 28 part          65826             54.337               1.018              0.00               746.43                    559.43                50827              6724160               12666   4710    4477   -      14867.1   8324.1    172   508    519   -    
Scer1_hifiasm_medaka                194                  194                     174                     163                      131                      78                       11124426                11124426                   11059372                   10975880                    10407932                    8459776                     194        443880          11124426      12157105          38.11   38.15             98848   93202   30840   11288   121416.4  111102.8  37   42    117  160   110              65                      5750114                      74                     0                         0                         1                         0 + 31 part          119199            88.650               1.019              0.00               468.32                    64.27                 228502             10981995              65147   62020   20080  2659   79892.2   73105.8   51    59     164   264  
Scer2_hifiasm_medaka                12                   12                      5                       1                        0                        0                        62592                   62592                      38293                      11251                       0                           0                           12         11251           62592         12157105          31.97   38.15             6046    -       2852    -       6494.9    33.4      4    -     10   -     3                3                       23529                        1                      0                         0                         0                         0 + 1 part           2853              0.487                0.999              0.00               456.50                    130.19                7284               59146                 4594    -       1563   -      4668.4    24.0      6     -      13    -    
Scer1_nextdenovo_medaka             78                   78                      78                      78                       77                       67                       10027176                10027176                   10027176                   10027176                    10013524                    9617485                     78         450615          10027176      12157105          38.29   38.15             161413  140382  67266   -       189246.6  156090.5  21   28    58   -     114              49                      7126889                      74                     0                         0                         0                         0 + 21 part          97265             80.188               1.016              0.00               481.31                    63.08                 229839             9903778               114452  85653   32079  -      112415.6  92720.4   32    43     95    -    
Scer1_Flye_ragtag                   35                   34                      25                      20                       17                       17                       11810066                11809539                   11777948                   11749222                    11708390                    11708390                    35         1484364         11810066      12157105          38.17   38.15             909227  909227  518177  306698  906992.8  881101.6  6    6     12   13    131              20                      11733271                     81                     29                        30                        0                         5 + 26 part          206355            94.199               1.010              77.05              487.27                    68.51                 510099             11568437              202011  195498  47773  32643  223760.8  217373.3  19    20     60    68   
Scer1_Flye_ragtag_broken            126                  124                     97                      84                       65                       53                       11800966                11799531                   11719349                   11632272                    11311824                    10862972                    126        798803          11800966      12157105          38.17   38.15             298371  298371  64869   48362   296229.9  287551.9  15   15    49   55    114              50                      8241780                      86                     0                         0                         1                         8 + 40 part          185446            94.234               1.010              0.00               487.50                    68.71                 390009             11572631              132490  131014  30517  20066  150861.0  146441.6  28    30     97    110  
Scer2_Flye_ragtag                   31                   29                      24                      21                       17                       16                       6872679                 6871165                    6850448                    6828919                     6779488                     6753813                     31         946426          6872679       12157105          38.04   38.15             507394  296022  296022  -       532482.5  301024.1  6    12    12   -     195              18                      6782923                      34                     343                       126                       0                         2 + 16 part          86686             54.309               1.018              958.87             746.17                    559.87                200136             6718003               53749   14210   11970  -      68078.3   38486.2   37    127    136   -    
Scer2_Flye_ragtag_broken            690                  687                     485                     251                      32                       2                        6806779                 6804551                    6106452                    4411946                     1044862                     100918                      690        50833           6806779       12157105          38.04   38.15             13134   5049    4942    -       15579.0   8722.7    165  480   489  -     51               45                      551449                       33                     0                         0                         0                         4 + 28 part          65826             54.337               1.018              0.00               746.43                    559.43                50827              6724165               12666   4710    4477   -      14867.1   8324.1    172   508    519   -    
Scer1_hifiasm_ragtag                28                   28                      21                      20                       18                       17                       11141026                11141026                   11121233                   11113828                    11090446                    11043356                    28         1571335         11141026      12157105          38.11   38.15             857855  823095  394263  164050  840727.7  770460.5  6    7     13   16    143              19                      11051082                     72                     92                        39                        0                         0 + 19 part          130687            88.670               1.018              149.00             468.67                    64.33                 531079             10973393              196937  172208  39118  2783   206741.0  189461.8  19    22     70    137  
Scer1_hifiasm_ragtag_broken         194                  194                     174                     163                      131                      78                       11124426                11124426                   11059372                   10975880                    10407932                    8459776                     194        443880          11124426      12157105          38.11   38.15             98848   93202   30840   11288   121416.4  111102.8  37   42    117  160   110              65                      5750114                      74                     0                         0                         1                         0 + 31 part          119199            88.630               1.019              0.00               468.38                    64.28                 228502             10980636              65147   62020   20080  2356   79967.1   73174.4   51    59     163   265  
Scer2_hifiasm_ragtag                7                    7                       5                       2                        0                        0                        63092                   63092                      54529                      33533                       0                           0                           7          22647           63092         12157105          31.97   38.15             10886   -       4421    -       12980.0   67.4      2    -     6    -     6                3                       41763                        1                      1                         1                         0                         0 + 1 part           3194              0.487                0.999              792.49             456.50                    130.19                8760               59146                 5059    -       3472   -      5190.8    26.9      5     -      11    -    
Scer2_hifiasm_ragtag_broken         12                   12                      5                       1                        0                        0                        62592                   62592                      38293                      11251                       0                           0                           12         11251           62592         12157105          31.97   38.15             6046    -       2852    -       6494.9    33.4      4    -     10   -     3                3                       23529                        1                      0                         0                         0                         0 + 1 part           2853              0.487                0.999              0.00               456.50                    130.19                7284               59146                 4594    -       1563   -      4668.4    24.0      6     -      13    -    
Scer1_nextdenovo_ragtag             17                   17                      17                      17                       17                       16                       10033276                10033276                   10033276                   10033276                    10033276                    9999770                     17         1381272         10033276      12157105          38.29   38.15             698871  665939  453095  -       788156.4  650466.6  6    7     12   -     142              17                      10033276                     73                     20                        6                         0                         0 + 14 part          106648            80.184               1.016              60.80              481.36                    63.13                 514197             9900346               152383  127604  39449  -      189143.9  156100.7  20    27     66    -    
Scer1_nextdenovo_ragtag_broken      78                   78                      78                      78                       77                       67                       10027176                10027176                   10027176                   10027176                    10013524                    9617485                     78         450615          10027176      12157105          38.29   38.15             161413  140382  67266   -       189246.6  156090.5  21   28    58   -     114              49                      7126889                      74                     0                         0                         0                         0 + 21 part          97265             80.191               1.016              0.00               481.43                    63.09                 229839             9901281               114452  85653   32079  -      112398.7  92706.4   32    43     95    -    
Scer1_Flye_longstitch               390                  134                     106                     95                       79                       63                       11870788                11748539                   11666629                   11593027                    11351698                    10775817                    254        494709          11839730      12157105          38.18   38.15             221440  221440  51622   42426   226515.3  220601.9  19   19    61   67    109              56                      7699461                      78                     2                         94                        3                         7 + 44 part          181152            93.894               1.011              828.60             481.39                    67.17                 346127             11540177              131053  130769  27651  16133  142181.6  138469.8  30    31     105   119  
Scer1_Flye_longstitch_broken        457                  337                     208                     182                      130                      82                       11741626                11650435                   11352846                   11172713                    10323197                    8442613                     457        394412          11741626      12157105          38.18   38.15             77485   75464   21809   14041   106387.3  102751.5  43   45    141  163   106              71                      4763069                      76                     0                         0                         3                         9 + 46 part          178097            93.903               1.011              0.00               480.93                    66.27                 230378             11541537              67033   63338   13703  6646   78842.5   76148.0   55    58     190   227  
Scer2_Flye_longstitch               607                  604                     454                     252                      45                       2                        6804958                 6802730                    6279533                    4819344                     1520859                     108488                      607        57655           6804958       12157105          38.04   38.15             15667   5964    5670    -       18087.3   10124.4   140  417   425  -     57               49                      731379                       33                     0                         23                        0                         3 + 27 part          64991             54.337               1.016              245.86             744.51                    557.79                57648              6708460               14307   5085    4972   -      16873.4   9444.9    150   454    463   -    
Scer2_Flye_longstitch_broken        652                  649                     471                     251                      39                       2                        6788227                 6785999                    6165058                    4570192                     1300499                     104163                      652        53330           6788227       12157105          38.04   38.15             14211   5251    5207    -       16684.2   9316.1    154  455   460  -     51               45                      602562                       33                     0                         0                         0                         3 + 27 part          64748             54.336               1.015              0.00               744.55                    557.51                53324              6707851               13332   4815    4752   -      15873.4   8863.3    162   484    491   -    
Scer1_hifiasm_longstitch            228                  137                     121                     114                      92                       68                       11184432                11141818                   11099677                   11043631                    10681624                    9762405                     177        479892          11172644      12157105          38.11   38.15             159403  135777  42283   12908   189577.7  174226.0  22   25    75   106   109              58                      7288826                      77                     0                         76                        1                         2 + 27 part          121037            88.406               1.018              869.59             465.64                    63.41                 308025             10937246              101886  90808   21307  -      116834.9  107373.8  34    39     123   -    
Scer1_hifiasm_longstitch_broken     271                  231                     188                     171                      131                      81                       11075488                11044662                   10942962                   10810745                    10105262                    8206708                     271        391536          11075488      12157105          38.11   38.15             84818   74159   28077   5477    107205.7  97667.6   40   47    126  188   104              67                      5158851                      75                     0                         0                         1                         4 + 30 part          119509            88.430               1.017              0.00               464.00                    63.32                 228502             10936815              64822   59542   17737  -      78124.3   71173.6   53    62     170   -    
