All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Scer1_Flye   Scer1_Flye_broken  Scer1_Hifiasm  Scer1_NextDenovo  Scer2_Flye   Scer2_Flye_broken  Scer2_Hifiasm
# contigs (>= 0 bp)          85           85                 86             28                735          736                15           
# contigs (>= 1000 bp)       78           79                 86             28                730          731                15           
# contigs (>= 5000 bp)       44           45                 45             28                538          539                9            
# contigs (>= 10000 bp)      34           35                 41             28                329          330                5            
# contigs (>= 25000 bp)      28           29                 32             24                64           63                 1            
# contigs (>= 50000 bp)      22           23                 27             21                4            4                  1            
Total length (>= 0 bp)       12311774     12311176           13061062       11082976          8443284      8443184            183837       
Total length (>= 1000 bp)    12307058     12306958           13061062       11082976          8439941      8439841            183837       
Total length (>= 5000 bp)    12212985     12212885           12958775       11082976          7805331      7805231            160282       
Total length (>= 10000 bp)   12145082     12144982           12926027       11082976          6271905      6271805            131299       
Total length (>= 25000 bp)   12052522     12052422           12782587       11017248          2165264      2135051            82450        
Total length (>= 50000 bp)   11867835     11867735           12610778       10908771          224448       224448             82450        
# contigs                    84           85                 86             28                735          736                15           
Largest contig               1530156      1530156            1133690        1411305           58540        58540              82450        
Total length                 12311276     12311176           13061062       11082976          8443284      8443184            183837       
Reference length             12157105     12157105           12157105       12157105          12157105     12157105           12157105     
GC (%)                       37.99        37.99              37.72          38.38             38.02        38.02              28.62        
Reference GC (%)             38.15        38.15              38.15          38.15             38.15        38.15              38.15        
N50                          751018       678834             709751         718358            16222        16107              15164        
NG50                         778493       678834             757070         694993            10424        10424              -            
N90                          325652       325652             212016         263619            6025         6025               4425         
NG90                         325652       325652             272578         41857             -            -                  -            
auN                          763817.0     720851.2           669961.9       730188.0          18913.9      18862.2            41967.6      
auNG                         773503.4     729986.7           719777.8       665673.0          13136.0      13099.9            634.6        
L50                          7            7                  8              6                 168          169                2            
LG50                         6            7                  7              7                 311          312                -            
L90                          16           17                 20             16                501          502                11           
LG90                         16           17                 17             22                -            -                  -            
# misassemblies              150          150                209            172               75           75                 9            
# misassembled contigs       32           33                 34             27                63           63                 2            
Misassembled contigs length  12086323     12086223           12760793       11070796          1019469      1007554            97614        
# local misassemblies        111          111                162            94                56           56                 8            
# scaffold gap ext. mis.     0            0                  0              0                 1            0                  0            
# scaffold gap loc. mis.     1            0                  0              0                 0            0                  0            
# unaligned mis. contigs     2            2                  4              0                 1            1                  0            
# unaligned contigs          4 + 42 part  4 + 42 part        1 + 41 part    0 + 19 part       9 + 47 part  9 + 48 part        1 + 3 part   
Unaligned length             255870       255507             299201         151163            129860       129860             26731        
Genome fraction (%)          95.930       95.944             96.042         87.066            66.381       66.393             1.293        
Duplication ratio            1.030        1.030              1.090          1.027             1.027        1.027              0.999        
# N's per 100 kbp            0.81         0.00               0.00           0.00              1.18         0.00               0.00         
# mismatches per 100 kbp     504.47       504.48             493.59         498.50            746.93       746.93             772.70       
# indels per 100 kbp         82.23        82.22              96.41          88.30             558.08       558.08             421.71       
Largest alignment            663299       663299             522167         539487            58540        58540              33002        
Total aligned length         12015870     12015858           12728425       10872926          8287524      8287524            156981       
NA50                         221824       221824             178379         181125            15306        15306              7331         
NGA50                        247739       230307             186269         168342            9612         9612               -            
NA90                         32634        32634              16797          36239             4780         4780               -            
NGA90                        42599        39421              39995          -                 -            -                  -            
auNA                         249179.0     248528.8           202699.5       224827.0          17653.7      17650.5            13433.3      
auNGA                        252338.9     251678.5           217771.5       204962.6          12260.8      12258.4            203.1        
LA50                         18           18                 23             18                180          180                6            
LGA50                        17           17                 20             21                334          334                -            
LA90                         63           63                 101            64                551          551                -            
LGA90                        59           60                 68             -                 -            -                  -            
