Sample	QV	Error_rate	Completeness
Scer1_q10_l500_Flye	42.0691	6.21003e-05	92.5528
Scer1_q10_l500_Flye_medaka	39.96	0.000100926	92.5123
Scer1_q10_l500_hifiasm	48.6515	1.36412e-05	92.6789
Scer1_q10_l500_hifiasm_medaka	42.1138	6.14632e-05	92.7491
Scer1_q10_l500_nextdenovo	40.5011	8.91026e-05	82.5871
Scer1_q10_l500_nextdenovo_medaka	37.8598	0.000163689	82.8916
Scer2_q10_l500_Flye	24.3244	0.00369458	96.1273
Scer2_q10_l500_Flye_medaka	24.6436	0.00343275	96.2807
Scer2_q10_l500_hifiasm	37.3776	0.000182911	84.2958
Scer2_q10_l500_hifiasm_medaka	31.9739	0.000634763	84.8479
