## 1.1.1
## assembly	: /media/hd15-cursos/nanopore_lgbio_2026/grupo_1/5.Montagem-Flye/Scer1_q10_l500/assembly.fasta
## coverage	 bam0 - /media/hd15-cursos/nanopore_lgbio_2026/grupo_1/11.Blobtools/Scer1_q10_l500_Flye/Scer1_q10_l500_Flye.bam
## taxonomy	 tax0 - /media/hd15-cursos/nanopore_lgbio_2026/grupo_1/11.Blobtools/Scer1_q10_l500_Flye/assembly.blastn.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6	superkingdom.s.7	superkingdom.c.8	phylum.t.9	phylum.s.10	phylum.c.11	order.t.12	order.s.13	order.c.14	family.t.15	family.s.16	family.c.17	genus.t.18	genus.s.19	genus.c.20	species.t.21	species.s.22	species.c.23
contig_100	2650	0.1845	0	597.0476	undef	48940.0	0	Ascomycota	48940.0	0	Saccharomycetales	48940.0	0	Saccharomycetaceae	48940.0	0	Saccharomyces	48940.0	0	Saccharomyces cerevisiae	48940.0	0
contig_101	1583	0.1819	0	42.4437	undef	28784.0	0	Ascomycota	28784.0	0	Saccharomycetales	28784.0	0	Saccharomycetaceae	28784.0	0	Saccharomyces	28784.0	0	Saccharomyces cerevisiae	28784.0	0
contig_102	3609	0.1804	0	342.3103	undef	65384.0	0	Ascomycota	65384.0	0	Saccharomycetales	65384.0	0	Saccharomycetaceae	65384.0	0	Saccharomyces	65384.0	0	Saccharomyces cerevisiae	65384.0	0
contig_103	2967	0.154	0	45.2904	undef	46607.0	0	Ascomycota	46607.0	0	Saccharomycetales	46607.0	0	Saccharomycetaceae	46607.0	0	Saccharomyces	46607.0	0	Saccharomyces cerevisiae	28034.0	1
contig_104	8554	0.1711	0	660.8004	undef	81792.0	0	Ascomycota	81792.0	0	Saccharomycetales	81792.0	0	Saccharomycetaceae	81792.0	0	Saccharomyces	81792.0	0	Saccharomyces cerevisiae	81792.0	0
contig_105	5780	0.1676	0	165.3647	undef	49906.0	0	Ascomycota	49906.0	0	Saccharomycetales	49906.0	0	Saccharomycetaceae	49906.0	0	Saccharomyces	49906.0	0	Saccharomyces cerevisiae	49906.0	0
contig_108	577	0.1542	0	101.4191	undef	10610.0	0	Ascomycota	10610.0	0	Saccharomycetales	10610.0	0	Saccharomycetaceae	10610.0	0	Saccharomyces	10610.0	0	Saccharomyces cerevisiae	10610.0	0
contig_109	1099	0.1647	0	110.439	undef	17075.0	0	Ascomycota	17075.0	0	Saccharomycetales	17075.0	0	Saccharomycetaceae	17075.0	0	Saccharomyces	17075.0	0	Saccharomyces cerevisiae	17075.0	0
contig_110	493	0.14	0	0.0	no-hit	0.0	0	no-hit	0.0	0	no-hit	0.0	0	no-hit	0.0	0	no-hit	0.0	0	no-hit	0.0	0
contig_111	704	0.1946	0	67.7301	undef	12806.0	0	Ascomycota	12806.0	0	Saccharomycetales	12806.0	0	Saccharomycetaceae	12806.0	0	Saccharomyces	12806.0	0	Saccharomyces cerevisiae	12806.0	0
contig_112	8215	0.1463	0	786.7415	undef	63899.0	0	Ascomycota	63899.0	0	Saccharomycetales	63899.0	0	Saccharomycetaceae	63899.0	0	Saccharomyces	63899.0	0	Saccharomyces cerevisiae	63899.0	0
contig_113	762	0.0682	0	45.509	undef	13717.0	0	Ascomycota	13717.0	0	Saccharomycetales	13717.0	0	Saccharomycetaceae	13717.0	0	Saccharomyces	13717.0	0	Saccharomyces cerevisiae	13717.0	0
contig_114	876	0.161	0	74.2248	undef	15085.0	0	Ascomycota	15085.0	0	Saccharomycetales	15085.0	0	Saccharomycetaceae	15085.0	0	Saccharomyces	15085.0	0	Saccharomyces cerevisiae x Saccharomyces uvarum	8910.0	1
contig_116	18412	0.3896	0	8.8286	undef	268222.0	0	Ascomycota	268222.0	0	Saccharomycetales	268222.0	0	Saccharomycetaceae	268222.0	0	Saccharomyces	268222.0	0	Saccharomyces cerevisiae	268222.0	0
contig_117	9615	0.3936	0	18.484	undef	117660.0	0	Ascomycota	117660.0	0	Saccharomycetales	117660.0	0	Saccharomycetaceae	117660.0	0	Saccharomyces	117660.0	0	Saccharomyces cerevisiae	117660.0	0
contig_118	423900	0.3903	0	28.0392	undef	2129200.0	0	Ascomycota	2129200.0	0	Saccharomycetales	2129200.0	0	Saccharomycetaceae	2129200.0	0	Saccharomyces	2129200.0	0	Saccharomyces cerevisiae	2129200.0	0
contig_119	13655	0.3553	0	25.5544	undef	189518.0	0	Ascomycota	189518.0	0	Saccharomycetales	189518.0	0	Saccharomycetaceae	189518.0	0	Saccharomyces	189518.0	0	Saccharomyces cerevisiae	189518.0	0
contig_120	19336	0.4061	0	14.6837	undef	242708.0	0	Ascomycota	242708.0	0	Saccharomycetales	242708.0	0	Saccharomycetaceae	242708.0	0	Saccharomyces	242708.0	0	Saccharomyces cerevisiae	242708.0	0
contig_121	64311	0.3932	0	25.1749	undef	537357.0	0	Ascomycota	537357.0	0	Saccharomycetales	537357.0	0	Saccharomycetaceae	537357.0	0	Saccharomyces	537357.0	0	Saccharomyces cerevisiae	537357.0	0
contig_124	6888	0.3814	0	7.8665	undef	120879.0	0	Ascomycota	120879.0	0	Saccharomycetales	120879.0	0	Saccharomycetaceae	120879.0	0	Saccharomyces	120879.0	0	Saccharomyces cerevisiae	120879.0	0
contig_125	929	0.1819	0	111.9844	undef	16763.0	0	Ascomycota	16763.0	0	Saccharomycetales	16763.0	0	Saccharomycetaceae	16763.0	0	Saccharomyces	16763.0	0	Saccharomyces cerevisiae	16763.0	0
contig_126	909	0.2057	0	54.8398	undef	16156.0	0	Ascomycota	16156.0	0	Saccharomycetales	16156.0	0	Saccharomycetaceae	16156.0	0	Saccharomyces	16156.0	0	Saccharomyces cerevisiae	16156.0	0
contig_127	848	0.1274	0	81.7873	undef	14904.0	0	Ascomycota	14904.0	0	Saccharomycetales	14904.0	0	Saccharomycetaceae	14904.0	0	Saccharomyces	14904.0	0	Saccharomyces cerevisiae	14904.0	0
contig_128	3950	0.3939	0	175.0353	undef	72272.0	0	Ascomycota	72272.0	0	Saccharomycetales	72272.0	0	Saccharomycetaceae	72272.0	0	Saccharomyces	72272.0	0	Saccharomyces cerevisiae	72272.0	0
contig_129	2347	0.3826	0	142.2131	undef	43120.0	0	undef	34488.0	1	undef	34488.0	1	undef	34488.0	1	undef	34488.0	1	Saccharomyces cerevisiae	8632.0	8
contig_130	484	0.1054	0	4.478	undef	8560.0	0	Ascomycota	8560.0	0	Saccharomycetales	8560.0	0	Saccharomycetaceae	8560.0	0	Saccharomyces	8560.0	0	Saccharomyces cerevisiae	8560.0	0
contig_132	2654	0.3335	0	57.9815	undef	17930.0	0	Ascomycota	17930.0	0	Saccharomycetales	17930.0	0	Saccharomycetaceae	17930.0	0	Saccharomyces	17930.0	0	Saccharomyces cerevisiae	16295.0	1
contig_133	6629	0.331	0	14.0589	undef	114900.0	0	Ascomycota	114900.0	0	Saccharomycetales	114900.0	0	Saccharomycetaceae	114900.0	0	Saccharomyces	114900.0	0	Saccharomyces cerevisiae	114900.0	0
contig_140	130704	0.3979	0	29.9475	undef	2366800.0	0	Ascomycota	2366800.0	0	Saccharomycetales	2366800.0	0	Saccharomycetaceae	2366800.0	0	Saccharomyces	2366800.0	0	Saccharomyces cerevisiae	2366800.0	0
contig_141	11908	0.1821	0	780.2731	undef	50245.0	0	Ascomycota	50245.0	0	Saccharomycetales	50245.0	0	Saccharomycetaceae	50245.0	0	Saccharomyces	50245.0	0	Saccharomyces cerevisiae	50245.0	0
contig_142	3712	0.1932	0	519.6537	undef	28095.0	0	Ascomycota	28095.0	0	Saccharomycetales	28095.0	0	Saccharomycetaceae	28095.0	0	Saccharomyces	28095.0	0	Saccharomyces cerevisiae	28095.0	0
