## 1.1.1
## assembly	: /media/hd15-cursos/nanopore_lgbio_2026/grupo_1/5.Montagem-Flye/Scer2_q10_l500/assembly.fasta
## coverage	 bam0 - /media/hd15-cursos/nanopore_lgbio_2026/grupo_1/11.Blobtools/Scer2_q10_l500_Flye/Scer2_q10_l500_Flye.bam
## taxonomy	 tax0 - /media/hd15-cursos/nanopore_lgbio_2026/grupo_1/11.Blobtools/Scer2_q10_l500_Flye/assembly.blastn.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6	superkingdom.s.7	superkingdom.c.8	phylum.t.9	phylum.s.10	phylum.c.11	order.t.12	order.s.13	order.c.14	family.t.15	family.s.16	family.c.17	genus.t.18	genus.s.19	genus.c.20	species.t.21	species.s.22	species.c.23
contig_1	2390	0.3707	0	3.3331	undef	41763.0	0	Ascomycota	41763.0	0	Saccharomycetales	41763.0	0	Saccharomycetaceae	41763.0	0	Saccharomyces	41763.0	0	Saccharomyces cerevisiae	41763.0	0
contig_10	835	0.3473	0	7.1553	undef	15330.0	0	Ascomycota	15330.0	0	Saccharomycetales	15330.0	0	Saccharomycetaceae	15330.0	0	Saccharomyces	15330.0	0	Saccharomyces cerevisiae	15330.0	0
contig_100	6908	0.3678	0	4.0362	undef	122663.0	0	Ascomycota	122663.0	0	Saccharomycetales	122663.0	0	Saccharomycetaceae	122663.0	0	Saccharomyces	122663.0	0	Saccharomyces cerevisiae	122663.0	0
contig_101	22189	0.38	0	4.5775	undef	400885.0	0	Ascomycota	400885.0	0	Saccharomycetales	400885.0	0	Saccharomycetaceae	400885.0	0	Saccharomyces	400885.0	0	Saccharomyces cerevisiae	400885.0	0
contig_102	3203	0.4031	0	5.596	undef	58388.0	0	Ascomycota	58388.0	0	Saccharomycetales	58388.0	0	Saccharomycetaceae	58388.0	0	Saccharomyces	58388.0	0	Saccharomyces cerevisiae	58388.0	0
contig_103	4410	0.3778	0	3.1612	undef	77860.0	0	Ascomycota	77860.0	0	Saccharomycetales	77860.0	0	Saccharomycetaceae	77860.0	0	Saccharomyces	77860.0	0	Saccharomyces cerevisiae	77860.0	0
contig_104	2836	0.3724	0	5.6179	undef	52026.0	0	Ascomycota	52026.0	0	Saccharomycetales	52026.0	0	Saccharomycetaceae	52026.0	0	Saccharomyces	52026.0	0	Saccharomyces cerevisiae	52026.0	0
contig_105	11068	0.3763	0	2.6991	undef	194409.0	0	Ascomycota	194409.0	0	Saccharomycetales	194409.0	0	Saccharomycetaceae	194409.0	0	Saccharomyces	194409.0	0	Saccharomyces cerevisiae	194409.0	0
contig_106	26729	0.3766	0	4.4705	undef	475643.0	0	Ascomycota	475643.0	0	Saccharomycetales	475643.0	0	Saccharomycetaceae	475643.0	0	Saccharomyces	475643.0	0	Saccharomyces cerevisiae	475643.0	0
contig_107	19068	0.3659	0	5.3267	undef	343560.0	0	Ascomycota	343560.0	0	Saccharomycetales	343560.0	0	Saccharomycetaceae	343560.0	0	Saccharomyces	343560.0	0	Saccharomyces cerevisiae	343560.0	0
contig_108	19054	0.3783	0	3.9718	undef	337246.0	0	Ascomycota	337246.0	0	Saccharomycetales	337246.0	0	Saccharomycetaceae	337246.0	0	Saccharomyces	337246.0	0	Saccharomyces cerevisiae	337246.0	0
contig_109	21186	0.3827	0	3.5721	undef	381957.0	0	Ascomycota	381957.0	0	Saccharomycetales	381957.0	0	Saccharomycetaceae	381957.0	0	Saccharomyces	381957.0	0	Saccharomyces cerevisiae	381957.0	0
contig_110	7248	0.3848	0	4.9459	undef	132000.0	0	Ascomycota	132000.0	0	Saccharomycetales	132000.0	0	Saccharomycetaceae	132000.0	0	Saccharomyces	132000.0	0	Saccharomyces cerevisiae	132000.0	0
contig_111	4838	0.3617	0	5.3514	undef	87403.0	0	Ascomycota	87403.0	0	Saccharomycetales	87403.0	0	Saccharomycetaceae	87403.0	0	Saccharomyces	87403.0	0	Saccharomyces cerevisiae	87403.0	0
contig_112	72351	0.379	0	4.184	undef	1292600.0	0	Ascomycota	1292600.0	0	Saccharomycetales	1292600.0	0	Saccharomycetaceae	1292600.0	0	Saccharomyces	1292600.0	0	Saccharomyces cerevisiae	1292600.0	0
contig_113	12598	0.3995	0	4.2683	undef	225652.0	0	Ascomycota	225652.0	0	Saccharomycetales	225652.0	0	Saccharomycetaceae	225652.0	0	Saccharomyces	225652.0	0	Saccharomyces cerevisiae	225652.0	0
contig_114	15254	0.3793	0	4.439	undef	271012.0	0	Ascomycota	271012.0	0	Saccharomycetales	271012.0	0	Saccharomycetaceae	271012.0	0	Saccharomyces	271012.0	0	Saccharomyces cerevisiae	271012.0	0
contig_115	25893	0.3922	0	3.9227	undef	468425.0	0	Ascomycota	468425.0	0	Saccharomycetales	468425.0	0	Saccharomycetaceae	468425.0	0	Saccharomyces	468425.0	0	Saccharomyces cerevisiae	468425.0	0
